"Name","Commit","Runtime","GitHub","Group","Hostname","Notes","GPU Type","GPU Count","Tags","_name_or_path","architectures","attention_probs_dropout_prob","hidden_act","hidden_dropout_prob","hidden_size","intermediate_size","layer_norm_eps","max_position_embeddings","model/num_parameters","num_attention_heads","num_hidden_layers","output_dir","per_device_eval_batch_size","per_device_train_batch_size","run_name","save_total_limit","torch_dtype","eval/accuracy","eval/f1","eval/loss","eval/precision","eval/recall","eval/runtime","eval/samples_per_second","eval/steps_per_second","total_flos","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"malberta-2d8ae55BfF","47316c7189787db1ef308e451dc372abc9ed2af5","11725","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","baseline","artemis-a40-00.local","Classifier from tu1qrpi3","NVIDIA A40","1","classifier-from-pretrained","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1655399/","[""RobertaForMaskedLM""]","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1718064/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1718064/","1","float32","0.90102269807804","0.9002027678740786","0.25900110602378845","0.9041606328574338","0.90102269807804","1007.1431","4548.82","17.769","79139487580830720","144201","1.535731554031372","6.93476466876096e-10","0.1865","0.22249211369818617","11709.67","1576.273","12.315"
"malberta-bEC5223dd1","47316c7189787db1ef308e451dc372abc9ed2af5","136","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","","artemis-a40-12.local","-","NVIDIA A40","1","classifier, uses-pretrained","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1655399/","[""RobertaForMaskedLM""]","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1697160/","512","256","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1697160/","1","float32","0.918579220573898","0.9236686456487888","0.2425910383462906","0.9308446510006994","0.918579220573898","10.1462","3740.432","7.392","775460336417280","707","0.8919661045074463","5.657708628005658e-7","0.1006","0.13047020700055437","123.6878","1462.23","5.716"
"malberta-7Cb8D32b6d","47316c7189787db1ef308e451dc372abc9ed2af5","13926","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","baseline","artemis-a40-01.local","-","NVIDIA A40","1","pretrain","","","0.001","gelu_new","0.01","512","2048","0.01","34","23012621","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1655399/","128","128","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1655399/","","","","","1.8949012756347656","","","1093.5095","4189.55","32.731","79144062712972800","144201","2.0564610958099365","6.934764668760963e-10","1.883","2.0319032389167235","12945.9929","1425.742","11.139"
"malberta-fAcd3b093F","47316c7189787db1ef308e451dc372abc9ed2af5","2735","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","","artemis-a40-16.local","-","NVIDIA A40","1","pretrain","","","0.001","gelu_new","0.01","512","2048","0.01","34","23012621","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1603413/","128","128","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1603413/","","","","","2.324045419692993","","","245.2406","4143.922","32.376","16114183522077120","29361","2.0603222846984863","1.0558223493750213e-7","2.1129","2.309859361080467","2575.4757","1459.179","11.4"
"malberta-720ebfFc30","47316c7189787db1ef308e451dc372abc9ed2af5","1155","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","","artemis-a40-14.local","-","NVIDIA A40","1","pretrain","","","0.001","gelu_new","0.01","512","2048","0.01","34","23012621","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1601675/","128","128","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1601675/","","","","","2.494945526123047","","","114.1471","4252.759","33.229","7320243936241920","13338","2.448521614074707","1.4619883040935672e-7","2.211","2.47896627236528","1109.465","1538.756","12.022"
"malberta-Aa3fED2BB7","47316c7189787db1ef308e451dc372abc9ed2af5","145","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","","artemis-a40-13.local","-","NVIDIA A40","1","pretrain","","","0.001","gelu_new","0.01","512","2048","0.01","34","23012621","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_%j","128","128","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_%j","","","","","3.3132126331329346","","","13.7229","4102.354","32.063","649874701686720","1185","1.6277341842651367","0.0000036286919831223623","3.0421","3.2111923797221125","121.0961","1251.576","9.786"
"malberta-E8BbB5776c","47316c7189787db1ef308e451dc372abc9ed2af5","416","https://github.com/Henry-Ash-Williams/malBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","","pa-88-242.staffvpn.susx.ac.uk","-","","","pretrain","","","0.001","gelu_new","0.01","512","2048","0.01","34","23012621","4","7","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/pretrained-malberta","128","128","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/pretrained-malberta","","","","","2.9521143436431885","","","37.6931","1545.216","12.098","712636335672960","1299","1.6187950372695925","0.000003849114703618168","3.0289","3.2116867899435864","398.2633","417.307","3.262"
"malberta-a6a1f0B7fb","47316c7189787db1ef308e451dc372abc9ed2af5","40","https://github.com/Henry-Ash-Williams/malBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","","pa-88-242.staffvpn.susx.ac.uk","-","","","pretrain","","","0.1","gelu","0.1","8","32","1e-12","66","14021","2","2","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/pretrained-malberta","256","256","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/pretrained-malberta","","","","","6.9735870361328125","","","2.5247","9350.79","36.836","149506373376","485","0.7053614854812622","0.0000088659793814433","6.9812","7.034644561452964","29.3602","4221.835","16.519"
"malberta-D61EfC9D9f","ccd818939369a29723a47b206a90d9b23a72769d","19","https://github.com/Henry-Ash-Williams/malBERT/tree/ccd818939369a29723a47b206a90d9b23a72769d","","pa-88-242.staffvpn.susx.ac.uk","-","","","classifier","","","0.1","gelu","0.1","8","32","1e-12","66","12730","2","2","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/classifier-malberta","512","256","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/classifier-malberta","1","","0.9093095033017512","0.8661181137631426","0.675013542175293","0.8268437727948778","0.9093095033017512","2.3737","11738.7","23.171","58500019200","322","0.050851233303546906","0.0000035714285714285714","0.6909","0.6915817083038899","15.9879","5150.651","20.14"
"malberta-dc8D583a2d","ccd818939369a29723a47b206a90d9b23a72769d","26","https://github.com/Henry-Ash-Williams/malBERT/tree/ccd818939369a29723a47b206a90d9b23a72769d","","pa-88-242.staffvpn.susx.ac.uk","-","","","classifier, uses-pretrained","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/pretrained-malberta","[""RobertaForMaskedLM""]","0.1","gelu","0.1","8","32","1e-12","66","12730","2","2","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/classifier-malberta","512","256","/Users/henrywilliams/Documents/programming/python/ai/malbert-test/classifier-malberta","1","float32","0.5558337845154304","0.397151931117076","0.6901684999465942","0.308951196008746","0.5558337845154304","2.5018","11812.239","23.183","83264563200","458","0.4182355999946594","0.000006441048034934498","0.6795","0.6845984729616923","22.2362","5271.036","20.597"
