,path,label,fcns,xrefs,calls,strings,symbols,imports,signatures,covrage,codesz,percent
68,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/upnpcont.exe,0,0,0,0,91,77,77,0,276,8468,3
69,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/alg.exe,0,0,0,0,31,104,104,0,392,37256,1
70,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/svchost.exe,0,0,0,0,21,82,82,0,328,12616,2
71,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/taskkill.exe,0,0,0,0,96,163,163,0,652,57996,1
72,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/mqsvc.exe,0,0,0,0,20,17,17,0,68,4164,1
73,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/ntsd.exe,0,0,0,0,26,87,87,0,348,29020,1
74,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/logoff.exe,0,0,0,0,58,65,65,0,260,12548,2
75,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/tskill.exe,0,0,0,0,62,63,63,0,252,12540,2
76,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/control.exe,0,0,0,0,22,28,28,0,112,8304,1
77,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/wupdmgr.exe,0,0,0,0,186,34,34,0,136,4232,3
78,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/find.exe,0,0,0,0,21,74,74,0,296,8488,3
79,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/xcopy.exe,0,0,0,0,22,163,163,0,652,29324,2
80,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/nw16.exe,0,0,0,0,0,0,0,0,0,122,0
81,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/tscupgrd.exe,0,0,0,0,27,87,87,0,348,41308,0
82,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/syncapp.exe,0,0,0,0,207,62,62,0,248,20728,1
83,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/chkntfs.exe,0,0,0,0,21,87,87,0,348,12636,2
84,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/mrinfo.exe,0,0,0,0,112,40,40,0,160,4256,3
85,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/share.exe,0,0,0,0,0,0,0,0,0,370,0
86,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/mscdexnt.exe,0,0,0,0,0,0,0,0,0,305,0
87,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/autoconv.exe,0,0,0,0,1548,111,111,0,444,389564,0
88,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/expand.exe,0,0,0,0,57,60,60,0,240,12528,1
89,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/sfc.exe,0,0,0,0,38,41,41,0,164,4260,3
90,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/mqbkup.exe,0,0,0,0,20,95,95,0,380,20860,1
91,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/smss.exe,0,0,0,0,133,125,125,0,500,45556,1
92,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/rsh.exe,0,0,0,0,72,64,64,0,256,8448,3
93,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/bootok.exe,0,0,0,0,20,18,18,0,72,4168,1
94,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/femgrate.exe,0,0,0,0,36,108,108,0,432,29104,1
95,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/mnmsrvc.exe,0,0,0,0,88,116,116,0,464,16848,2
96,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/rasautou.exe,0,0,0,0,21,57,57,0,228,8420,2
97,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/smbinst.exe,0,0,0,0,24,56,56,0,224,8416,2
98,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/magnify.exe,0,0,0,0,159,305,305,0,620,41580,1
99,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/asr_ldm.exe,0,0,0,0,40,68,68,0,272,12560,2
100,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/shmgrate.exe,0,0,0,0,26,125,125,0,500,37364,1
101,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/sethc.exe,0,0,0,0,38,98,98,0,392,24968,1
102,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/ie4uinit.exe,0,0,0,0,33,103,103,0,412,33180,1
103,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/dplaysvr.exe,0,0,0,0,22,88,88,0,352,29024,1
104,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/rsopprov.exe,0,0,0,0,30,165,165,0,660,62100,1
105,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/debug.exe,0,0,0,0,0,0,0,0,0,23178,0
106,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/spoolsv.exe,0,0,0,0,53,213,201,0,352,49504,0
107,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/nddeapir.exe,0,0,0,0,21,17,17,0,68,4164,1
108,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/wpabaln.exe,0,0,0,0,191,52,52,0,208,8400,2
109,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/tlntadmn.exe,0,0,0,0,172,128,128,0,512,41472,1
110,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/atmadm.exe,0,0,0,0,80,35,35,0,140,8332,1
111,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/pentnt.exe,0,0,0,0,41,35,35,0,140,4236,3
112,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/clipsrv.exe,0,0,0,0,54,172,172,0,688,33456,2
113,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/net1.exe,0,0,0,0,184,267,267,0,1068,111660,0
114,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/dvdplay.exe,0,0,0,0,275,21,21,0,84,4180,2
115,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/shrpubw.exe,0,0,0,0,219,233,233,0,448,33216,1
116,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/fc.exe,0,0,0,0,20,99,99,0,396,12684,3
117,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/ntkrnlpa.exe,0,0,0,0,4633,1565,82,0,328,1691208,0
118,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/verifier.exe,0,0,0,0,204,323,323,0,476,70108,0
119,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/netdde.exe,0,0,0,0,169,233,233,0,932,95140,0
120,/Volumes/malware-dataset/benign_program_dataset_WinXP_SP3/benign_programs_WinXP_SP3/at.exe,0,0,0,0,86,82,82,0,328,16712,1
